GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bff-colegio,com.colegio.bff.controller,AlumnoResumenController,0,36,0,0,0,8,0,6,0,6
bff-colegio,com.colegio.bff.service,AlumnoResumenService,13,61,0,0,2,13,1,5,1,5
