GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-asistencia,com.colegio.asistencia.controller,AsistenciaController,0,80,0,0,0,17,0,9,0,9
ms-asistencia,com.colegio.asistencia.service,AsistenciaService,3,122,1,3,1,28,1,14,0,13
