GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-notas,com.colegio.notas.controller,NotaController,0,61,0,0,0,13,0,9,0,9
ms-notas,com.colegio.notas.service,NotaService,3,103,2,4,1,27,2,11,0,10
